Fecha,Tmax,Tmin
01/04/2018,13.7,3.4
02/04/2018,11.1,7.0
03/04/2018,9.2,5.2
04/04/2018,12.3,3.2
05/04/2018,13.2,0.2
06/04/2018,16.6,3.4
07/04/2018,10.7,4.1
08/04/2018,12.9,0.3
09/04/2018,10.8,3.3
10/04/2018,8.5,1.8
11/04/2018,11.6,-0.1
12/04/2018,8.4,1.3
13/04/2018,10.3,4.5
14/04/2018,13.6,3.9
15/04/2018,13.2,6.7
16/04/2018,14.3,2.8
17/04/2018,19.7,2.9
18/04/2018,23.2,7.0
19/04/2018,21.9,8.9
20/04/2018,20.3,9.4
21/04/2018,17.6,7.4
22/04/2018,19.9,8.2
23/04/2018,23.7,7.6
24/04/2018,25.3,9.4
25/04/2018,25.6,10.3
26/04/2018,20.1,4.1
27/04/2018,17.1,7.3
28/04/2018,12.0,5.6
29/04/2018,8.6,1.5
30/04/2018,9.4,0.7
